epoch,accuracy,precision,recall,f1_score,loss
1,0.75,0.7457681842604382,0.646325325630139,0.6885153819220154,0.8969579637050629
2,0.846,0.8499462874127381,0.8092710613562992,0.8243454449089421,0.4961912808939814
3,0.888,0.8911352681375854,0.8872836285474994,0.8840952688102868,0.3451832979917526
4,0.938,0.940533483078766,0.9371120224211642,0.9334245072477312,0.2464662799611687
5,0.942,0.878659785473621,0.9378571682466313,0.899386629174058,0.20994563354179263
