epoch,accuracy,precision,recall,f1_score
1,0.75,0.7457681842604382,0.646325325630139,0.6885153819220154
2,0.846,0.8499462874127381,0.8092710613562992,0.8243454449089421
3,0.888,0.8911352681375854,0.8872836285474994,0.8840952688102868
4,0.938,0.940533483078766,0.9371120224211642,0.9334245072477313
5,0.942,0.878659785473621,0.9378571682466313,0.899386629174058
