epoch,accuracy,precision,recall,f1_score,loss
1,0.814,0.796005926722616,0.7485168147763226,0.7670975319990844,0.6239700056612492
2,0.896,0.9009056735864546,0.8946307102569983,0.8925980729174852,0.3385951006785035
3,0.938,0.8749287460448583,0.920257138328184,0.8892029317722752,0.2224564860807731
4,0.952,0.8879873840455278,0.9544911081102286,0.9120206794532774,0.1931748315691948
5,0.956,0.8917184234742905,0.9565849535775679,0.9149691644197092,0.18562602647580206
