epoch,accuracy,precision,recall,f1_score,loss,training_mode
1,0.826,0.828100513003839,0.8194077169721695,0.8189974342227474,0.5711418241262436,cv
1,0.826,0.828100513003839,0.8194077169721695,0.8189974342227474,0.5711418241262436,cv
2,0.9,0.9058323473620414,0.852717770212945,0.8734245996334797,0.3323046378791332,cv
1,0.826,0.828100513003839,0.8194077169721695,0.8189974342227474,0.5711418241262436,cv
2,0.9,0.9058323473620414,0.852717770212945,0.8734245996334797,0.3323046378791332,cv
3,0.94,0.8767942657592397,0.9272801882448936,0.893475514119908,0.1998856486752629,cv
1,0.826,0.828100513003839,0.8194077169721695,0.8189974342227474,0.5711418241262436,cv
2,0.9,0.9058323473620414,0.852717770212945,0.8734245996334797,0.3323046378791332,cv
3,0.94,0.8767942657592397,0.9272801882448936,0.893475514119908,0.1998856486752629,cv
4,0.952,0.9548117852184512,0.9440079025893772,0.9439232975323928,0.1941367879044264,cv
1,0.826,0.828100513003839,0.8194077169721695,0.8189974342227474,0.5711418241262436,cv
2,0.9,0.9058323473620414,0.852717770212945,0.8734245996334797,0.3323046378791332,cv
3,0.94,0.8767942657592397,0.9272801882448936,0.893475514119908,0.1998856486752629,cv
4,0.952,0.9548117852184512,0.9440079025893772,0.9439232975323928,0.1941367879044264,cv
5,0.964,0.899180502331816,0.9699056735674694,0.9250718928811364,0.1724339715437963,cv
1,0.814,0.796005926722616,0.7485168147763226,0.7670975319990844,0.6239700056612492,cv
1,0.814,0.796005926722616,0.7485168147763226,0.7670975319990844,0.6239700056612492,cv
2,0.896,0.9009056735864546,0.8946307102569983,0.8925980729174852,0.3385951006785035,cv
1,0.814,0.796005926722616,0.7485168147763226,0.7670975319990844,0.6239700056612492,cv
2,0.896,0.9009056735864546,0.8946307102569983,0.8925980729174852,0.3385951006785035,cv
3,0.938,0.8749287460448583,0.920257138328184,0.8892029317722752,0.2224564860807731,cv
1,0.814,0.796005926722616,0.7485168147763226,0.7670975319990844,0.6239700056612492,cv
2,0.896,0.9009056735864546,0.8946307102569983,0.8925980729174852,0.3385951006785035,cv
3,0.938,0.8749287460448583,0.920257138328184,0.8892029317722752,0.2224564860807731,cv
4,0.952,0.8879873840455278,0.9544911081102286,0.9120206794532774,0.1931748315691948,cv
1,0.814,0.796005926722616,0.7485168147763226,0.7670975319990844,0.6239700056612492,cv
2,0.896,0.9009056735864546,0.8946307102569983,0.8925980729174852,0.3385951006785035,cv
3,0.938,0.8749287460448583,0.920257138328184,0.8892029317722752,0.2224564860807731,cv
4,0.952,0.8879873840455278,0.9544911081102286,0.9120206794532774,0.1931748315691948,cv
5,0.956,0.8917184234742905,0.956584953577568,0.9149691644197092,0.185626026475802,cv
1,0.802,0.8065163139712245,0.7255733860805015,0.7595167197580683,0.6881806273013353,cv
1,0.802,0.8065163139712245,0.7255733860805015,0.7595167197580683,0.6881806273013353,cv
2,0.916,0.8544080291866634,0.9039902120846124,0.8708437484838896,0.31389313749969,cv
1,0.802,0.8065163139712245,0.7255733860805015,0.7595167197580683,0.6881806273013353,cv
2,0.916,0.8544080291866634,0.9039902120846124,0.8708437484838896,0.31389313749969,cv
3,0.944,0.8805253051880024,0.9456491954514352,0.9039784027886392,0.2363447058014571,cv
1,0.802,0.8065163139712245,0.7255733860805015,0.7595167197580683,0.6881806273013353,cv
2,0.916,0.8544080291866634,0.9039902120846124,0.8708437484838896,0.31389313749969,cv
3,0.944,0.8805253051880024,0.9456491954514352,0.9039784027886392,0.2363447058014571,cv
4,0.962,0.8973149826174347,0.9509713127213438,0.9153169866332764,0.178230874473229,cv
1,0.802,0.8065163139712245,0.7255733860805015,0.7595167197580683,0.6881806273013353,cv
2,0.916,0.8544080291866634,0.9039902120846124,0.8708437484838896,0.31389313749969,cv
3,0.944,0.8805253051880024,0.9456491954514352,0.9039784027886392,0.2363447058014571,cv
4,0.962,0.8973149826174347,0.9509713127213438,0.9153169866332764,0.178230874473229,cv
5,0.962,0.8973149826174347,0.9505513321454456,0.9151206923365652,0.1678296866593882,cv
1,0.824,0.8225863505013504,0.7513525522323187,0.7808442659773648,0.582292266190052,cv
1,0.824,0.8225863505013504,0.7513525522323187,0.7808442659773648,0.582292266190052,cv
2,0.91,0.9108532189017264,0.8950483497145935,0.8976930211575012,0.3083986211568117,cv
1,0.824,0.8225863505013504,0.7513525522323187,0.7808442659773648,0.582292266190052,cv
2,0.91,0.9108532189017264,0.8950483497145935,0.8976930211575012,0.3083986211568117,cv
3,0.934,0.9399128521281463,0.9510653294690504,0.9400229369956864,0.2260696035809815,cv
1,0.824,0.8225863505013504,0.7513525522323187,0.7808442659773648,0.582292266190052,cv
2,0.91,0.9108532189017264,0.8950483497145935,0.8976930211575012,0.3083986211568117,cv
3,0.934,0.9399128521281463,0.9510653294690504,0.9400229369956864,0.2260696035809815,cv
4,0.948,0.8842563446167652,0.9477276631839424,0.9069189862793235,0.1841779849492013,cv
1,0.824,0.8225863505013504,0.7513525522323187,0.7808442659773648,0.582292266190052,cv
2,0.91,0.9108532189017264,0.8950483497145935,0.8976930211575012,0.3083986211568117,cv
3,0.934,0.9399128521281463,0.9510653294690504,0.9400229369956864,0.2260696035809815,cv
4,0.948,0.8842563446167652,0.9477276631839424,0.9069189862793235,0.1841779849492013,cv
5,0.954,0.8898529037599092,0.9527965931481056,0.9122295047138668,0.1718848997261375,cv
1,0.802,0.7845591813677624,0.739083522766203,0.7567686339787448,0.6574569065123796,cv
1,0.802,0.7845591813677624,0.739083522766203,0.7567686339787448,0.6574569065123796,cv
2,0.9,0.8394838714716125,0.9005634472250816,0.8613785319648074,0.343301011249423,cv
1,0.802,0.7845591813677624,0.739083522766203,0.7567686339787448,0.6574569065123796,cv
2,0.9,0.8394838714716125,0.9005634472250816,0.8613785319648074,0.343301011249423,cv
3,0.944,0.9454310361316242,0.8616453051880024,0.8937381798623453,0.1958285882137715,cv
1,0.802,0.7845591813677624,0.739083522766203,0.7567686339787448,0.6574569065123796,cv
2,0.9,0.8394838714716125,0.9005634472250816,0.8613785319648074,0.343301011249423,cv
3,0.944,0.9454310361316242,0.8616453051880024,0.8937381798623453,0.1958285882137715,cv
4,0.958,0.9604996557892111,0.9614697185949936,0.9554619393773456,0.1498323142295703,cv
1,0.802,0.7845591813677624,0.739083522766203,0.7567686339787448,0.6574569065123796,cv
2,0.9,0.8394838714716125,0.9005634472250816,0.8613785319648074,0.343301011249423,cv
3,0.944,0.9454310361316242,0.8616453051880024,0.8937381798623453,0.1958285882137715,cv
4,0.958,0.9604996557892111,0.9614697185949936,0.9554619393773456,0.1498323142295703,cv
5,0.958,0.893583943188672,0.96263984476512,0.9187498604783658,0.1459653551573865,cv
