epoch,training_loss,validation_loss,accuracy,precision,recall,f1_score
1,1.3111795391070817,0.49378607887774706,0.844,0.8492546438896698,0.8233631032224382,0.8292933492597311
2,0.5025691915777879,0.25633706245571375,0.914,0.9200191114942704,0.9342966100261894,0.9248889778933712
3,0.2713658640429471,0.09090423351153731,0.978,0.95053159160147,0.9839278634113642,0.9753472434447061
4,0.1493290019229381,0.07522417127620429,0.982,0.9385091832852603,0.9901703486824595,0.9667947291660053
5,0.08470088265309332,0.0462015777520719,0.99,0.9393083059262919,0.9907280741754066,0.9645391201581632
