epoch,accuracy,precision,recall,f1_score,loss,training_mode
1,0.984,0.9862523113629588,0.9349652904640116,0.984808841229894,0.0597232641084701,cv
1,0.984,0.9862523113629588,0.9349652904640116,0.984808841229894,0.0597232641084701,cv
2,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.0400845982458122,cv
1,0.984,0.9862523113629588,0.9349652904640116,0.984808841229894,0.0597232641084701,cv
2,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.0400845982458122,cv
3,0.996,0.9960164948453608,0.9411764705882352,0.995879132231405,0.0414664637801251,cv
1,0.984,0.9862523113629588,0.9349652904640116,0.984808841229894,0.0597232641084701,cv
2,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.0400845982458122,cv
3,0.996,0.9960164948453608,0.9411764705882352,0.995879132231405,0.0414664637801251,cv
4,0.996,0.9960164948453608,0.9411764705882352,0.995879132231405,0.0494869366496004,cv
1,0.984,0.9862523113629588,0.9349652904640116,0.984808841229894,0.0597232641084701,cv
2,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.0400845982458122,cv
3,0.996,0.9960164948453608,0.9411764705882352,0.995879132231405,0.0414664637801251,cv
4,0.996,0.9960164948453608,0.9411764705882352,0.995879132231405,0.0494869366496004,cv
5,0.996,0.9960164948453608,0.9411764705882352,0.995879132231405,0.0529451235587998,cv
1,0.986,0.9852045855379188,0.8508707830958471,0.9853442524717868,0.0470945407723775,cv
1,0.986,0.9852045855379188,0.8508707830958471,0.9853442524717868,0.0470945407723775,cv
2,0.996,0.996,0.969553038606747,0.996,0.0189651176206098,cv
1,0.986,0.9852045855379188,0.8508707830958471,0.9853442524717868,0.0470945407723775,cv
2,0.996,0.996,0.969553038606747,0.996,0.0189651176206098,cv
3,0.996,0.996,0.969553038606747,0.996,0.0209709507339539,cv
1,0.986,0.9852045855379188,0.8508707830958471,0.9853442524717868,0.0470945407723775,cv
2,0.996,0.996,0.969553038606747,0.996,0.0189651176206098,cv
3,0.996,0.996,0.969553038606747,0.996,0.0209709507339539,cv
4,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0198547978773149,cv
1,0.986,0.9852045855379188,0.8508707830958471,0.9853442524717868,0.0470945407723775,cv
2,0.996,0.996,0.969553038606747,0.996,0.0189651176206098,cv
3,0.996,0.996,0.969553038606747,0.996,0.0209709507339539,cv
4,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0198547978773149,cv
5,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0210067501862454,cv
1,0.99,0.989620811287478,0.8813177444890999,0.989531608908419,0.0310186596179846,cv
1,0.99,0.989620811287478,0.8813177444890999,0.989531608908419,0.0310186596179846,cv
2,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.0227561233878077,cv
1,0.99,0.989620811287478,0.8813177444890999,0.989531608908419,0.0310186596179846,cv
2,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.0227561233878077,cv
3,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0168037336497945,cv
1,0.99,0.989620811287478,0.8813177444890999,0.989531608908419,0.0310186596179846,cv
2,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.0227561233878077,cv
3,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0168037336497945,cv
4,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0177822799616933,cv
1,0.99,0.989620811287478,0.8813177444890999,0.989531608908419,0.0310186596179846,cv
2,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.0227561233878077,cv
3,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0168037336497945,cv
4,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0177822799616933,cv
5,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0188839280317552,cv
1,0.992,0.992,0.939106077213494,0.992,0.0222817450303409,cv
1,0.992,0.992,0.939106077213494,0.992,0.0222817450303409,cv
2,1.0,0.97,0.95,0.9598958332833388,0.0017387329035045,cv
1,0.992,0.992,0.939106077213494,0.992,0.0222817450303409,cv
2,1.0,0.97,0.95,0.9598958332833388,0.0017387329035045,cv
3,0.998,0.968111111111111,0.9489648033126292,0.9584423477236792,0.0086218596061371,cv
1,0.992,0.992,0.939106077213494,0.992,0.0222817450303409,cv
2,1.0,0.97,0.95,0.9598958332833388,0.0017387329035045,cv
3,0.998,0.968111111111111,0.9489648033126292,0.9584423477236792,0.0086218596061371,cv
4,0.998,0.968111111111111,0.9489648033126292,0.9584423477236792,0.012969395189657,cv
1,0.992,0.992,0.939106077213494,0.992,0.0222817450303409,cv
2,1.0,0.97,0.95,0.9598958332833388,0.0017387329035045,cv
3,0.998,0.968111111111111,0.9489648033126292,0.9584423477236792,0.0086218596061371,cv
4,0.998,0.968111111111111,0.9489648033126292,0.9584423477236792,0.012969395189657,cv
5,0.998,0.968111111111111,0.9489648033126292,0.9584423477236792,0.0133666418531674,cv
1,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.031074567734322,cv
1,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.031074567734322,cv
2,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0040076008181131,cv
1,0.994,0.994037037037037,0.9117647058823528,0.9937189653450514,0.031074567734322,cv
2,0.998,0.9980041322314048,0.9705882352941176,0.9979707310958604,0.0040076008181131,cv
3,0.998,0.968111111111111,0.9489648033126292,0.9584423477236792,0.0054039930878388,cv
